t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
0.6,4.62305959,6.03506336,11.1593092,6.0056024,4.60218568,-0.795096,1.03343,9.82319,-0.956376652,0.778143488,9.74520159
0.605,4.62639105,6.03450375,11.275961,5.18908154,3.74188985,-0.644013,0.890599,9.80674,-0.896812236,0.799587554,9.75693631
0.61,4.61516479,6.02818349,11.3935076,2.57827528,4.70423725,-0.828135,0.452707,10.0535,-0.88371622,0.733441134,9.81348784
0.615,4.60005393,6.04251205,11.5190945,6.95502765,6.74676029,-1.17165,1.19928,9.83114,-0.93862212,0.822271635,9.81685392
0.62,4.58935141,6.07174597,11.6491168,4.92863535,7.30514336,-1.29101,0.865226,10.0335,-1.00581873,0.830462574,9.85816602
0.625,4.57660774,6.11254924,11.7758806,6.73938885,6.5285151,-1.08403,1.11163,9.40704,-1.02073278,0.884078203,9.7721411
0.63,4.56981289,6.15959986,11.9017048,3.95920195,6.66747263,-1.15863,0.684351,9.88785,-1.04702831,0.845992356,9.79420555
0.635,4.58099604,6.20942252,12.0204754,6.93645666,6.4951704,-1.09024,1.15649,9.506,-1.05526832,0.905200944,9.73924783
0.64,4.6019289,6.27633079,12.1304599,3.55793917,9.32382032,-1.52561,0.576649,9.27421,-1.14495746,0.842549594,9.65057008
0.645,4.60613431,6.3611391,12.2360584,3.66410627,6.94970478,-1.1292,0.592024,9.24488,-1.14195268,0.794777036,9.57320931
0.65,4.58916725,6.44629721,12.3333401,3.73538581,7.16234278,-1.19749,0.620832,9.50923,-1.15254305,0.761607573,9.56100914
0.655,4.56725437,6.5268388,12.4234407,5.95317697,7.24196834,-1.26617,1.03343,9.91033,-1.1742105,0.81344121,9.6276209
0.66,4.55862326,6.59052875,12.5020857,5.19861438,5.51562186,-0.931344,0.873902,9.60514,-1.12789845,0.824970438,9.62333403
0.665,4.54444453,6.64476112,12.5699771,3.15972856,9.10669595,-1.57049,0.540039,9.78267,-1.21229594,0.770637052,9.6537177
0.67,4.53029617,6.712422,12.6301796,4.45086813,7.04977259,-1.25627,0.788345,10.1279,-1.22068132,0.774013769,9.7441392
0.675,4.53678796,6.78149069,12.6968459,5.55290929,7.08611121,-1.24934,0.972503,10.003,-1.22614623,0.811863548,9.7935012
0.68,4.55734282,6.84226859,12.788346,4.85462651,5.97498124,-1.03362,0.835761,9.84029,-1.18943353,0.816420537,9.80242332
0.685,4.5768593,6.89341762,12.8871563,4.19657464,6.16995495,-1.05236,0.71237,9.70858,-1.16329507,0.79657921,9.7845284
0.69,4.58459422,6.92881158,12.9855663,3.03626158,5.30770102,-0.89932,0.512742,9.66664,-1.11295784,0.742454482,9.76204834
0.695,4.58891647,6.94866918,13.0896497,4.6451033,5.30388137,-0.93392,0.81469,10.0269,-1.07881723,0.756229025,9.81255273
0.7,4.59915329,6.97793076,13.1904263,4.69668641,8.2870859,-1.51197,0.849969,10.3457,-1.16141485,0.774104238,9.91421822
0.705,4.60480908,7.01878851,13.2790202,6.19348089,5.68689486,-1.02017,1.10524,10.1847,-1.13448096,0.837248295,9.96579621
0.71,4.58968482,7.04845119,13.3569672,2.84284426,6.29905824,-1.05773,0.475247,9.57045,-1.11984537,0.76821851,9.89040791
0.714999,4.56473464,7.07368358,13.4333071,4.97632869,8.03158484,-1.36519,0.839261,9.63866,-1.1666224,0.781763362,9.84241004
0.719999,4.53007076,7.10201437,13.5085349,1.60667726,7.4209119,-1.21711,0.262003,9.34085,-1.17624985,0.682650607,9.74676789
0.724999,4.47485329,7.16369429,13.5850585,2.82740953,10.2193427,-1.76031,0.481658,9.75259,-1.28762389,0.644323461,9.7478781
0.729999,4.42007601,7.23557426,13.6742479,4.17717919,5.04842578,-0.842337,0.694548,9.5098,-1.20271243,0.653900745,9.70247915
0.734999,4.37728843,7.26982092,13.772525,5.17776795,7.03641564,-1.20441,0.880609,9.71804,-1.20303614,0.69713159,9.70544644
0.739999,4.35786463,7.28857559,13.8683505,6.58653559,8.57335614,-1.48237,1.12784,9.76774,-1.25630212,0.779263089,9.71732516
0.744999,4.34343848,7.30754467,13.9624822,2.99218945,8.65073162,-1.50586,0.516661,9.88426,-1.30389015,0.729187672,9.74915785
0.749999,4.31346925,7.34352867,14.0477158,4.2163879,9.45166699,-1.59353,0.703778,9.54625,-1.35912138,0.724342319,9.71046549
0.754999,4.31259771,7.40503967,14.1316771,8.73207606,8.645535,-1.49713,1.49482,9.73225,-1.38543815,0.871264192,9.71461956
0.759999,4.3518186,7.45842701,14.2202721,6.32673283,4.81609713,-0.799323,1.04544,9.42914,-1.27367224,0.90447766,9.66018166
0.764999,4.40000826,7.5084644,14.3024991,4.09076563,8.84525985,-1.46401,0.671119,9.3838,-1.30996762,0.859978654,9.60747862
0.769999,4.44873228,7.57797511,14.3696942,5.64421686,8.25409027,-1.37794,0.934207,9.45266,-1.32292923,0.874133207,9.57795636
0.774999,4.48155024,7.66050646,14.4253429,3.05959566,9.62479529,-1.62569,0.511672,9.57276,-1.38066248,0.805015722,9.57696547
0.779999,4.4972528,7.74544617,14.4853556,5.21451183,8.13780258,-1.35883,0.86365,9.46336,-1.37649926,0.816196653,9.55530212
0.784999,4.5117887,7.82864392,14.5539851,5.88719371,9.29889932,-1.6244,1.01758,9.86849,-1.42377128,0.854598309,9.61502371
0.789999,4.52131562,7.91931111,14.63119,5.38309964,9.21310942,-1.58644,0.917582,9.73766,-1.45479047,0.866608627,9.63840914
0.794999,4.51925965,8.02101845,14.71026,4.9182947,12.84935,-2.14742,0.807141,9.3797,-1.58686753,0.855268785,9.58907607
0.799999,4.49196113,8.12995639,14.7810009,2.63882871,9.50451503,-1.67271,0.45998,9.98029,-1.60323678,0.779891431,9.66367639
0.804999,4.44629809,8.23495632,14.8592798,5.49376939,6.99507999,-1.16411,0.908324,9.44407,-1.51949999,0.804382152,9.62179979
0.809999,4.40714367,8.33803557,14.9510661,6.35791466,10.7768362,-1.86058,1.08247,9.71485,-1.58454031,0.857410537,9.63954348
