t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.794999 0.888196 0.27803 0.365678 -0.00929971 0 0 0 -0.919562 0.688503 -0.269718 -6.42318 4.77834 5.66977 0.700285 0.713863 0.249756 
0.799999 0.888198 0.275754 0.36741 -0.00857348 0 0 0 -0.923882 0.686257 -0.265509 -6.44904 4.7436 5.66959 0.696707 0.717356 0.251327 
0.804999 0.888198 0.273469 0.369131 -0.00783543 0 0 0 -0.928178 0.683982 -0.261296 -6.47468 4.70884 5.66934 0.693112 0.72083 0.252898 
0.809999 0.888195 0.271176 0.370841 -0.00708556 0 0 0 -0.932449 0.681677 -0.257079 -6.50012 4.67406 5.66901 0.689499 0.724287 0.254469 
0.814999 0.888189 0.268875 0.37254 -0.00632389 0 0 0 -0.936695 0.679343 -0.252858 -6.52534 4.63927 5.66861 0.685869 0.727725 0.25604 
0.819999 0.888181 0.266567 0.374228 -0.00555042 0 0 0 -0.940917 0.676978 -0.248635 -6.55036 4.60447 5.66814 0.682222 0.731145 0.25761 
0.824999 0.88817 0.26425 0.375904 -0.00476517 0 0 0 -0.945113 0.674583 -0.244409 -6.57517 4.56965 5.66759 0.678557 0.734547 0.259181 
0.829999 0.888156 0.261926 0.377569 -0.00396816 0 0 0 -0.949284 0.672158 -0.240182 -6.59976 4.53483 5.66697 0.674876 0.737931 0.260752 
0.834999 0.888139 0.259595 0.379222 -0.00315939 0 0 0 -0.95343 0.669703 -0.235953 -6.62415 4.50001 5.66628 0.671178 0.741296 0.262323 
0.839999 0.88812 0.257256 0.380864 -0.00233889 0 0 0 -0.957551 0.667217 -0.231722 -6.64833 4.46518 5.66551 0.667463 0.744643 0.263894 
