t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.505 0.994903 0.0397276 0.051626 0.0769646 19.8116 8.15971 5.99988 -0.150557 0.472638 0.206706 -1.40312 0.127378 -0.433969 0.0875175 0.0967614 0.15865 
0.51 0.994828 0.0395303 0.0520823 0.0777316 19.8079 8.19073 5.99951 0.00030389 0.0501742 0.283362 -0.933998 -0.0942823 0.269057 0.0872745 0.0976354 0.160221 
0.515 0.994752 0.0393314 0.052537 0.0784987 19.8041 8.22174 5.99889 -0.306413 0.413445 -0.0186218 -1.54488 -0.00421454 -0.00431827 0.0870293 0.0985069 0.161792 
0.52 0.994675 0.0391308 0.0529902 0.0792659 19.8003 8.25274 5.99803 -0.533185 0.314383 0.58453 -1.40489 -0.335833 -0.717149 0.0867819 0.099376 0.163363 
0.525 0.994597 0.0389285 0.0534417 0.0800333 19.7964 8.28374 5.99692 0.245242 0.248954 0.0224924 -1.77694 0.116408 -0.304471 0.0865324 0.100243 0.164934 
0.53 0.994519 0.0387246 0.0538916 0.0808008 19.7926 8.31472 5.99556 -0.173157 0.144296 0.342739 -1.98451 -0.231029 -0.429195 0.0862807 0.101107 0.166504 
0.535 0.99444 0.038519 0.0543399 0.0815684 19.7886 8.3457 5.99396 0.0474437 -0.0234328 0.391856 -1.20372 -0.403983 -0.229657 0.0860269 0.101968 0.168075 
0.54 0.99436 0.0383118 0.0547865 0.0823362 19.7847 8.37667 5.99211 -0.0283572 0.329502 0.175254 -1.52979 0.125924 0.0084314 0.0857709 0.102827 0.169646 
0.545 0.994279 0.038103 0.0552314 0.0831041 19.7807 8.40763 5.99002 -0.273752 0.256527 0.0515663 -1.0884 -0.211114 0.012526 0.0855127 0.103684 0.171217 
0.55 0.994198 0.0378925 0.0556747 0.0838722 19.7766 8.43858 5.98769 0.0911917 0.0640543 0.10645 -0.868077 -0.441001 0.183078 0.0852525 0.104537 0.172787 
0.555 0.994116 0.0376804 0.0561163 0.0846404 19.7726 8.46952 5.98511 -0.242025 0.562769 0.110308 -1.62285 0.347352 -0.134191 0.0849901 0.105389 0.174358 
0.56 0.994034 0.0374667 0.0565561 0.0854087 19.7685 8.50046 5.98229 -0.288724 0.275232 0.0864039 -1.58788 -0.0740032 -0.207857 0.0847255 0.106237 0.175929 
0.565 0.99395 0.0372514 0.0569943 0.0861772 19.7643 8.53139 5.97922 -0.202946 0.219675 -0.0740914 -1.34396 -0.102289 -0.545576 0.0844589 0.107083 0.1775 
0.57 0.993866 0.0370345 0.0574307 0.0869458 19.7601 8.5623 5.97592 -0.437821 0.599017 -0.113674 -1.3112 -0.026167 -0.175841 0.0841901 0.107926 0.179071 
0.575 0.993782 0.036816 0.0578654 0.0877145 19.7559 8.59321 5.97237 -0.205805 0.694568 0.263475 -1.10147 -0.101009 0.0381472 0.0839193 0.108767 0.180641 
0.58 0.993696 0.036596 0.0582983 0.0884834 19.7517 8.62411 5.96858 -0.00525791 0.133072 0.245677 -1.14939 -0.4184 0.199335 0.0836463 0.109605 0.182212 
0.585 0.99361 0.0363743 0.0587295 0.0892525 19.7474 8.655 5.96456 0.363048 0.148165 0.349244 -1.34822 -0.2879 0.362957 0.0833712 0.11044 0.183783 
0.59 0.993524 0.0361512 0.0591588 0.0900216 19.7431 8.68589 5.96029 -0.14695 0.241631 0.269648 -1.42538 0.207089 0.22075 0.0830941 0.111272 0.185354 
0.595 0.993436 0.0359264 0.0595864 0.090791 19.7387 8.71676 5.95579 -0.25791 0.442943 0.364348 -1.05474 -0.148224 0.316902 0.0828149 0.112102 0.186925 
0.6 0.993348 0.0357001 0.0600122 0.0915604 19.7343 8.74762 5.95106 -0.170519 0.0805547 0.422769 -1.86836 -0.139684 0.767182 0.0825336 0.112928 0.188495 
0.605 0.993259 0.0354723 0.0604361 0.09233 19.7299 8.77848 5.94609 -0.561772 0.0603899 0.397684 -1.05809 0.169208 0.553441 0.0822502 0.113752 0.190066 
0.61 0.99317 0.035243 0.0608582 0.0930998 19.7254 8.80932 5.94088 -0.0921244 0.108541 0.440844 -1.66424 -0.466954 0.234929 0.0819648 0.114573 0.191637 
0.615 0.99308 0.0350121 0.0612785 0.0938697 19.7209 8.84016 5.93544 -0.16671 0.07813 0.546688 -1.22779 0.206558 -0.119414 0.0816774 0.115392 0.193208 
0.62 0.992989 0.0347797 0.0616969 0.0946397 19.7164 8.87099 5.92978 -0.0252062 0.231439 0.75089 -1.39281 -0.39235 0.332404 0.0813879 0.116207 0.194779 
0.625 0.992898 0.0345459 0.0621134 0.0954099 19.7118 8.9018 5.92388 0.116685 0.257767 0.559634 -1.50286 -0.62671 0.363054 0.0810963 0.117019 0.196349 
0.63 0.992805 0.0343105 0.0625281 0.0961802 19.7072 8.93261 5.91776 -0.219346 0.19498 0.37689 -1.48532 0.250403 0.920954 0.0808028 0.117829 0.19792 
0.635 0.992712 0.0340737 0.0629408 0.0969507 19.7025 8.96341 5.9114 -0.272862 0.401871 0.377238 -1.40052 -0.107404 0.444092 0.0805072 0.118635 0.199491 
0.64 0.992619 0.0338353 0.0633517 0.0977213 19.6978 8.9942 5.90483 -0.241567 -0.0403219 0.332727 -1.8984 -0.399357 0.9642 0.0802096 0.119439 0.201062 
0.645 0.992525 0.0335955 0.0637606 0.0984921 19.6931 9.02498 5.89803 0.120273 0.457087 0.266194 -1.8487 -0.0893653 1.10084 0.07991 0.12024 0.202633 
0.65 0.99243 0.0333543 0.0641676 0.099263 19.6883 9.05574 5.89101 0.160219 0.231649 0.359928 -1.13332 -0.60148 0.586495 0.0796084 0.121037 0.204203 
0.655 0.992334 0.0331116 0.0645726 0.100034 19.6835 9.0865 5.88377 0.188917 -0.0576234 0.149889 -1.51372 -0.37348 1.28696 0.0793048 0.121832 0.205774 
0.66 0.992238 0.0328675 0.0649757 0.100805 19.6787 9.11725 5.87631 0.172444 0.189939 0.105542 -1.80989 -0.091445 1.34732 0.0789993 0.122623 0.207345 
0.665 0.992141 0.0326219 0.0653768 0.101577 19.6738 9.14799 5.86863 -0.144504 0.246811 0.768708 -1.58852 0.394452 0.859987 0.0786917 0.123412 0.208916 
0.67 0.992043 0.032375 0.0657759 0.102348 19.6689 9.17872 5.86074 -0.391762 -0.0454434 -0.023592 -1.98834 0.261662 1.38878 0.0783822 0.124197 0.210487 
0.675 0.991945 0.0321266 0.066173 0.10312 19.664 9.20943 5.85264 -0.0905652 0.33367 -0.157931 -1.2291 -0.21104 1.26246 0.0780707 0.124979 0.212057 
0.68 0.991846 0.0318768 0.0665682 0.103891 19.659 9.24014 5.84433 0.262282 0.258805 0.370841 -1.47531 0.0433213 1.42612 0.0777573 0.125759 0.213628 
0.685 0.991747 0.0316256 0.0669613 0.104663 19.654 9.27084 5.83581 -0.156644 0.237696 0.251171 -1.83147 -0.347267 1.35975 0.0774419 0.126535 0.215199 
0.69 0.991646 0.0313731 0.0673523 0.105435 19.649 9.30152 5.82708 0.308878 -0.166801 0.436988 -1.7777 0.0704969 1.39952 0.0771246 0.127307 0.21677 
0.695 0.991546 0.0311192 0.0677414 0.106208 19.6439 9.3322 5.81815 0.0579154 0.300673 0.425303 -2.25156 0.473404 1.19643 0.0768054 0.128077 0.218341 
0.7 0.991444 0.0308639 0.0681284 0.10698 19.6388 9.36286 5.80902 -0.108172 0.0570987 0.198725 -1.77523 0.835396 1.65317 0.0764843 0.128843 0.219911 
0.705 0.991342 0.0306072 0.0685133 0.107753 19.6336 9.39352 5.79969 0.254421 0.25776 0.0556631 -1.22422 -0.269806 1.5145 0.0761612 0.129607 0.221482 
0.71 0.991239 0.0303492 0.0688961 0.108525 19.6284 9.42416 5.79016 0.141815 0.241751 0.258766 -1.66738 -0.205558 1.62955 0.0758362 0.130367 0.223053 
0.714999 0.991135 0.0300899 0.0692769 0.109298 19.6232 9.45479 5.78043 0.0146918 -0.0987814 0.00165452 -2.01267 -0.142046 2.03683 0.0755094 0.131123 0.224624 
0.719999 0.991031 0.0298293 0.0696555 0.110071 19.6179 9.48541 5.77051 -0.15595 0.514729 0.108964 -1.77956 0.541915 1.57813 0.0751806 0.131877 0.226195 
0.724999 0.990926 0.0295673 0.0700321 0.110844 19.6126 9.51602 5.76041 -0.310512 0.529185 0.43759 -1.93829 0.12875 1.89232 0.07485 0.132627 0.227765 
0.729999 0.990821 0.0293041 0.0704065 0.111617 19.6073 9.54662 5.75011 0.0896753 -0.0220325 0.00722347 -1.98269 -0.156927 2.4479 0.0745175 0.133374 0.229336 
0.734999 0.990715 0.0290395 0.0707788 0.112391 19.6019 9.57721 5.73963 -0.216172 0.629496 0.230956 -2.00988 0.0692949 2.07539 0.0741831 0.134117 0.230907 
0.739999 0.990608 0.0287737 0.071149 0.113164 19.5965 9.60779 5.72897 0.164088 0.0474949 0.243921 -1.84505 -0.0190783 1.94417 0.0738469 0.134858 0.232478 
