t,x,y,theta,x_i,y_i,theta_i
197.504016,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156123
197.510269,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815749
197.512091,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157889
197.516413,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158335
197.522329,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158946
197.524073,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159126
197.529436,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157845
197.532172,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157191
197.536183,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156233
197.541367,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156132
197.544134,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156078
197.54864,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157158
197.552034,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157972
197.560425,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159985
197.561319,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159689
197.564174,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158744
197.568391,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158283
197.573566,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157718
197.576074,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157443
197.580892,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158052
197.584157,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158465
197.588562,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158246
197.592056,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158074
197.596092,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157875
197.600766,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156738
197.604069,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155935
197.608288,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155482
197.613171,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154959
197.616099,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154646
197.621238,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155515
197.62401,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155983
197.628174,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154684
197.633133,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153136
197.636019,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38152234
197.641208,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38151892
197.644119,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38151701
197.648036,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38152163
197.652871,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38152735
197.656257,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153136
197.660371,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153693
197.664002,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154184
197.668103,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153124
197.672926,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38151878
197.676071,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38151066
197.6803,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38152122
197.685419,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.381534
197.689095,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153821
197.692682,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154232
197.696048,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154618
