time_s,dpx,dpy,px,py,theta
148.947,4.42668e-07,-3.81308e-07,0.000159338,-1.07448e-07,0.00157761
148.951,6.41822e-07,-5.52857e-07,0.00015998,-1.08321e-07,0.00158396
148.955,5.35453e-07,-4.61232e-07,0.000160515,-1.09051e-07,0.00158926
148.959,4.2469e-07,-3.65822e-07,0.00016094,-1.09633e-07,0.00159347
148.964,5.43052e-07,-4.67778e-07,0.000161483,-1.10378e-07,0.00159884
148.967,3.16762e-07,-2.72855e-07,0.0001618,-1.10814e-07,0.00160198
148.971,1.3982e-06,-1.20439e-06,0.000163198,-1.12744e-07,0.00161582
148.976,1.4517e-06,-1.25047e-06,0.00016465,-1.14764e-07,0.0016302
148.979,9.07933e-07,-7.82081e-07,0.000165558,-1.16039e-07,0.00163919
148.983,1.32551e-06,-1.14178e-06,0.000166883,-1.17911e-07,0.00165231
148.987,9.24555e-07,-7.96399e-07,0.000167808,-1.19227e-07,0.00166146
148.992,-4.05864e-07,3.49606e-07,0.000167402,-1.18646e-07,0.00165745
148.996,-3.51413e-07,3.02702e-07,0.000167051,-1.18144e-07,0.00165397
148.999,2.13031e-07,-1.83502e-07,0.000167264,-1.18448e-07,0.00165608
149.003,3.72019e-07,-3.20452e-07,0.000167636,-1.18978e-07,0.00165976
149.008,4.06028e-07,-3.49747e-07,0.000168042,-1.19559e-07,0.00166378
149.011,7.50744e-07,-6.4668e-07,0.000168792,-1.20635e-07,0.00167121
149.016,1.5548e-06,-1.33928e-06,0.000170347,-1.22873e-07,0.00168661
149.019,5.48146e-07,-4.72165e-07,0.000170895,-1.23669e-07,0.00169203
149.024,9.1339e-07,-7.86782e-07,0.000171809,-1.25001e-07,0.00170108
149.027,5.91795e-07,-5.09764e-07,0.0001724,-1.25868e-07,0.00170694
149.031,5.88749e-07,-5.0714e-07,0.000172989,-1.26733e-07,0.00171277
149.036,7.28497e-07,-6.27517e-07,0.000173718,-1.27808e-07,0.00171998
149.039,6.81414e-07,-5.86961e-07,0.000174399,-1.28818e-07,0.00172672
149.044,1.04841e-06,-9.03089e-07,0.000175448,-1.30377e-07,0.00173711
149.047,6.47455e-07,-5.57709e-07,0.000176095,-1.31346e-07,0.00174352
149.051,7.03607e-07,-6.06078e-07,0.000176799,-1.32403e-07,0.00175048
149.056,8.74601e-07,-7.53369e-07,0.000177673,-1.33721e-07,0.00175914
149.059,0,0,0.000177673,-1.33721e-07,0.00175914
149.063,0,0,0.000177673,-1.33721e-07,0.00175914
